Algorithm,ItemCount_n,Capacity_C,BestValue,Time_ms,Space_bytes,Note
DP,8000,100000,1115757.27,1318.000,800008,(reconstruction disabled for large n*C)
Greedy,8000,100000,1115723.58,2.000,-,Not optimal
Backtracking,8000,100000,-1.00,-1.000,-,n>1000 skipped
BruteForce,8000,1000000,-1.00,-1.000,-,n>40 skipped
DP,8000,1000000,2121998.16,1.000,8000008,
Greedy,8000,1000000,2121998.16,2.000,-,Not optimal
Backtracking,8000,1000000,-1.00,-1.000,-,n>1000 skipped
BruteForce,9000,10000,-1.00,-1.000,-,n>40 skipped
DP,9000,10000,361803.86,168.000,80008,(reconstruction disabled for large n*C)
Greedy,9000,10000,361784.87,2.000,-,Not optimal
Backtracking,9000,10000,-1.00,-1.000,-,n>1000 skipped
BruteForce,9000,100000,-1.00,-1.000,-,n>40 skipped
DP,9000,100000,1179880.75,1469.000,800008,(reconstruction disabled for large n*C)
Greedy,9000,100000,1179861.84,2.000,-,Not optimal
Backtracking,9000,100000,-1.00,-1.000,-,n>1000 skipped
BruteForce,9000,1000000,-1.00,-1.000,-,n>40 skipped
DP,9000,1000000,2382271.70,0.000,8000008,
Greedy,9000,1000000,2382271.70,2.000,-,Not optimal
Backtracking,9000,1000000,-1.00,-1.000,-,n>1000 skipped
BruteForce,10000,10000,-1.00,-1.000,-,n>40 skipped
DP,10000,10000,379746.72,186.000,80008,(reconstruction disabled for large n*C)
Greedy,10000,10000,379688.70,3.000,-,Not optimal
Backtracking,10000,10000,-1.00,-1.000,-,n>1000 skipped
BruteForce,10000,100000,-1.00,-1.000,-,n>40 skipped
DP,10000,100000,1242108.73,1619.000,800008,(reconstruction disabled for large n*C)
Greedy,10000,100000,1242052.53,3.000,-,Not optimal
Backtracking,10000,100000,-1.00,-1.000,-,n>1000 skipped
BruteForce,10000,1000000,-1.00,-1.000,-,n>40 skipped
DP,10000,1000000,2642816.80,0.000,8000008,
Greedy,10000,1000000,2642816.80,2.000,-,Not optimal
Backtracking,10000,1000000,-1.00,-1.000,-,n>1000 skipped
BruteForce,20000,10000,-1.00,-1.000,-,n>40 skipped
DP,20000,10000,525419.77,367.000,80008,(reconstruction disabled for large n*C)
Greedy,20000,10000,525363.89,5.000,-,Not optimal
Backtracking,20000,10000,-1.00,-1.000,-,n>1000 skipped
BruteForce,20000,100000,-1.00,-1.000,-,n>40 skipped
DP,20000,100000,1741639.40,3179.000,800008,(reconstruction disabled for large n*C)
Greedy,20000,100000,1741621.88,4.000,-,Not optimal
Backtracking,20000,100000,-1.00,-1.000,-,n>1000 skipped
BruteForce,20000,1000000,-1.00,-1.000,-,n>40 skipped
DP,20000,1000000,-1.00,0.000,8000008,n*C>10^10 skipped
Greedy,20000,1000000,5268491.44,5.000,-,Not optimal
Backtracking,20000,1000000,-1.00,-1.000,-,n>1000 skipped
BruteForce,40000,10000,-1.00,-1.000,-,n>40 skipped
DP,40000,10000,728063.89,726.000,80008,(reconstruction disabled for large n*C)
Greedy,40000,10000,728024.79,10.000,-,Not optimal
Backtracking,40000,10000,-1.00,-1.000,-,n>1000 skipped
BruteForce,40000,100000,-1.00,-1.000,-,n>40 skipped
DP,40000,100000,2444445.16,6173.000,800008,(reconstruction disabled for large n*C)
Greedy,40000,100000,2444407.21,11.000,-,Not optimal
Backtracking,40000,100000,-1.00,-1.000,-,n>1000 skipped
BruteForce,40000,1000000,-1.00,-1.000,-,n>40 skipped
DP,40000,1000000,-1.00,0.000,8000008,n*C>10^10 skipped
Greedy,40000,1000000,7884108.27,11.000,-,Not optimal
Backtracking,40000,1000000,-1.00,-1.000,-,n>1000 skipped
BruteForce,80000,10000,-1.00,-1.000,-,n>40 skipped
DP,80000,10000,1004676.31,1179.000,80008,(reconstruction disabled for large n*C)
Greedy,80000,10000,1004676.31,22.000,-,Not optimal
Backtracking,80000,10000,-1.00,-1.000,-,n>1000 skipped
BruteForce,80000,100000,-1.00,-1.000,-,n>40 skipped
DP,80000,100000,3441768.51,12246.000,800008,(reconstruction disabled for large n*C)
Greedy,80000,100000,3441768.37,22.000,-,Not optimal
Backtracking,80000,100000,-1.00,-1.000,-,n>1000 skipped
BruteForce,80000,1000000,-1.00,-1.000,-,n>40 skipped
DP,80000,1000000,-1.00,0.000,8000008,n*C>10^10 skipped
Greedy,80000,1000000,11135441.01,24.000,-,Not optimal
Backtracking,80000,1000000,-1.00,-1.000,-,n>1000 skipped
BruteForce,160000,10000,-1.00,-1.000,-,n>40 skipped
DP,160000,10000,1373962.86,2364.000,80008,(reconstruction disabled for large n*C)
Greedy,160000,10000,1373882.97,45.000,-,Not optimal
Backtracking,160000,10000,-1.00,-1.000,-,n>1000 skipped
BruteForce,160000,100000,-1.00,-1.000,-,n>40 skipped
DP,160000,100000,-1.00,0.000,800008,n*C>10^10 skipped
Greedy,160000,100000,4827480.54,43.000,-,Not optimal
Backtracking,160000,100000,-1.00,-1.000,-,n>1000 skipped
BruteForce,160000,1000000,-1.00,-1.000,-,n>40 skipped
DP,160000,1000000,-1.00,0.000,8000008,n*C>10^10 skipped
Greedy,160000,1000000,15697828.48,44.000,-,Not optimal
Backtracking,160000,1000000,-1.00,-1.000,-,n>1000 skipped
BruteForce,320000,10000,-1.00,-1.000,-,n>40 skipped
DP,320000,10000,1839918.33,4710.000,80008,(reconstruction disabled for large n*C)
Greedy,320000,10000,1839918.33,96.000,-,Not optimal
Backtracking,320000,10000,-1.00,-1.000,-,n>1000 skipped
BruteForce,320000,100000,-1.00,-1.000,-,n>40 skipped
DP,320000,100000,-1.00,0.000,800008,n*C>10^10 skipped
Greedy,320000,100000,6700116.37,96.000,-,Not optimal
Backtracking,320000,100000,-1.00,-1.000,-,n>1000 skipped
BruteForce,320000,1000000,-1.00,-1.000,-,n>40 skipped
DP,320000,1000000,-1.00,0.000,8000008,n*C>10^10 skipped
Greedy,320000,1000000,22059662.39,99.000,-,Not optimal
Backtracking,320000,1000000,-1.00,-1.000,-,n>1000 skipped
